排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
63,palmier-io/palmier-pro,64190,下降30,AI 视频生成 / 视频编辑,GPL-3.0,palmier-pro 是为 AI 工作流设计的 macOS 视频编辑器，把模型生成素材、时间线编辑和 MCP 工具调用结合起来；适合 AI 视频创作者、自动剪辑、本地后期和 agent 驱动的内容生产。
64,MoonshotAI/FlashKDA,64138,下降30,AI 基础设施 / 推理内核,MIT,FlashKDA 为 Kimi Delta Attention 提供高性能计算内核，重点优化注意力算子的吞吐与延迟；适合大模型推理框架、GPU 性能调优和新型注意力机制研究。
65,vudovn/ag-kit,64086,下降30,Agent Skills / 工程工具包,MIT,AG Kit 为 Google Antigravity 提供规则、技能、专业子代理、持久记忆、MCP、编排和危险命令防护的一体化工作区；适合团队建立可复用的 agent 工程规范与生产检查流程。
66,herdrdev/herdr,63982,下降29,AI Agent / 多 Agent 终端编排,Apache-2.0,herdr 是运行在终端中的 agent 多路复用器，用于同时启动、切换和观察多个代理会话；适合并行 coding agents、研究任务分工和多项目自动化管理。
67,StarTrail-org/PixelRAG,63929,下降29,RAG / 像素级文档检索,Apache-2.0,PixelRAG 以像素级视觉表示替代传统网页解析，将页面截图与视觉内容构建为可扩展检索索引；适合复杂网页、图文混排文档、多模态搜索和视觉 RAG。
68,ayghri/i-have-adhd,63877,下降29,AI 编码助手 / 输出优化技能,MIT,i-have-adhd 是面向 coding agent 的输出优化技能，要求模型先给结论并减少冗长铺垫；适合需要快速定位答案、降低信息负担和改善 Claude Code 等工具可读性的开发者。
69,ericosiu/ai-marketing-skills,63825,下降29,Agent Skills / 营销自动化,MIT,ai-marketing-skills 将增长实验、销售漏斗、内容运营、外联、SEO 和财务分析封装为可复用 agent skills；适合营销团队建立 AI SOP、活动策划和数据驱动增长工作流。
70,drumih/turbo-fieldfare,63773,下降29,本地 LLM / 低内存推理,Apache-2.0,turbo-fieldfare 面向 Apple Silicon 的低内存模型推理，可在约 2GB 内存中运行 Gemma 4 26B-A4B；适合本地助手、离线实验、边缘设备和低成本大模型验证。
71,agentscope-ai/QwenPaw,63721,下降29,自托管 AI 助手 / 多渠道 Agent,Apache-2.0,QwenPaw 是易安装、可本地或云端部署的个人 AI 助手，支持多种聊天渠道与可扩展技能；适合个人工作台、群聊机器人、私有知识助手和跨端自动化。
72,RyanCodrai/turbovec,63669,下降29,向量数据库 / RAG 基础设施,MIT,TurboVec 是用 Rust 实现并提供 Python 绑定的紧凑向量索引，结合 TurboQuant 降低内存占用并支持快速相似度检索；适合本地 RAG、嵌入搜索、推荐系统和资源受限环境中的语义检索。
73,rohitg00/agentmemory,63617,下降29,Agent 记忆 / 长上下文记忆,Apache-2.0,agentmemory 为 coding agents 提供持久记忆、时间上下文和历史检索，帮助代理跨会话保存事实、任务和项目状态；适合长期开发、个人助理和持续协作工作流。
74,JuliusBrussee/caveman,63564,下降29,AI 编码助手 / 上下文压缩,MIT,caveman 通过更精简的表达和上下文组织方式降低 Claude Code 的 token 消耗，同时保留任务所需信息；适合长会话、复杂仓库、成本敏感开发和减少重复解释。
75,koala73/worldmonitor,63512,下降29,监控 / 趋势跟踪代理,未知 / 未声明,worldmonitor 汇聚新闻、地缘事件和基础设施状态，并用 AI 形成实时态势看板；适合 OSINT、风险监测、市场情报、全球事件跟踪和管理层简报。
76,earthtojake/text-to-cad,63408,下降28,3D / CAD / 机器人 Agent Skills,MIT,text-to-cad 将 CAD、机器人和硬件设计方法封装为 agent skills，让模型生成和修改 STEP、STL、URDF 等工程资产；适合机械原型、机器人建模、参数化设计和硬件研发辅助。
77,msitarzewski/agency-agents,63356,下降28,AI Agent / 工作流编排,MIT,agency-agents 提供覆盖前端、产品、设计、营销、社区和质量保障的专业 agent 角色，可按任务组合成虚拟团队；适合复杂项目拆解、多角色协作和业务流程自动化。
78,Robbyant/lingbot-map,63304,下降28,视觉 / 3D / 具身智能,Apache-2.0,LingBot-Map 是面向流式视频的 3D 基础模型，以几何上下文、轨迹记忆和缓存注意力持续重建长场景；适合机器人建图、长视频三维重建、具身感知、AR 与空间智能研究。
79,KnockOutEZ/wigolo,63252,下降28,Agent 搜索 / MCP 抓取,未知 / 未声明,wigolo 为 coding agent 提供本地优先的搜索、抓取、爬取和研究能力，并通过 MCP 接入且无需云端 API；适合代码调研、RAG 数据采集、网页资料汇总和隐私敏感的研究任务。
80,apache/ossie,63147,下降27,AI 数据治理 / 语义元数据,Apache-2.0,Apache Ossie 致力于统一分析、AI 与 BI 平台之间的语义元数据交换，提供厂商中立的单一事实来源；适合企业指标治理、语义层互操作、数据目录和 AI 分析系统集成。
81,ibelick/ui-skills,63095,下降27,AI 编码助手 / UI Agent Skills,MIT,ui-skills 为设计工程师和 coding agent 提供可复用的界面实现技能，帮助模型理解布局、组件、交互与视觉质量要求；适合前端生成、设计系统落地、页面审查和 UI 重构。
82,agegr/pi-web,63043,下降27,AI 编码助手 / Coding Agent Web UI,MIT,pi-web 为 pi coding agent 提供浏览器界面，让用户无需纯终端即可查看会话、提交任务和跟踪执行；适合本地 coding agent、远程开发和轻量团队工作台。
83,tradesdontlie/tradingview-mcp,62939,下降26,量化 / 金融 MCP,未知 / 未声明,tradingview-mcp 将 Claude Code 连接到 TradingView Desktop，支持对当前图表进行 AI 辅助分析和工作流操作；适合个人技术分析、图表研究和交易复盘，不替代投资判断。
84,AlexsJones/llmfit,62887,下降26,本地 LLM / 模型选型,MIT,llmfit 根据本机硬件和模型要求快速判断哪些本地 LLM 能运行，并比较不同模型与供应商；适合本地模型选型、设备容量规划和离线 AI 环境搭建。
85,ifixai-ai/iFixAi,62834,下降26,AI 安全 / LLM 评测与治理,Apache-2.0,iFixAi 通过多项自动检查评估 AI 系统的幻觉、操纵、欺骗、提示注入和治理风险，并输出分级结果；适合上线前 LLM 评测、合规检查、红队测试和持续质量门禁。
86,img2threejs/img2threejs,62782,下降26,3D 生成 / 图像到 Three.js,Apache-2.0,img2threejs 根据参考图片生成仅由代码构建、可动画且经过质量检查的 Three.js 三维对象；适合网页 3D 原型、产品展示、程序化建模和图像到场景的 agent 工作流。
87,HKUDS/DeepTutor,62730,下降26,教育 / 个性化学习 Agent,Apache-2.0,DeepTutor 是面向终身学习的个性化教学 agent，将资料检索、知识讲解、练习生成和学习反馈组合成持续辅导流程；适合课程助教、自适应学习、研究型问答和个人知识训练。
88,MoonshotAI/kimi-cli,62678,下降26,AI 编码助手 / CLI Agent,Apache-2.0,Kimi CLI 是运行在终端中的 coding agent，可理解项目上下文、调用工具并完成代码任务；适合仓库开发、脚本处理、命令执行和中文研发工作流。
89,Vincentwei1021/video-shotcraft,62626,下降26,AI 视频生成 / Agent Skills,Apache-2.0,video-shotcraft 将镜头设计、产品视频配方和 Remotion 实现封装为 Claude Code 与 Codex 技能，可按产品 brief 生成可编辑的电影化视频；适合营销短片、产品演示、批量镜头规划和代码化视频制作。
90,headroomlabs-ai/headroom,62574,下降26,Agent 上下文压缩 / AI 基础设施,Apache-2.0,Headroom 在工具输出、日志、文件和 RAG 片段进入 LLM 前进行语义压缩，减少 token 消耗并保留任务关键内容；适合长链路 Agent、代码助手、日志分析、检索增强和上下文成本治理。
91,petergyang/no-ai-slop,62469,下降25,AI 写作 / 质量控制,MIT,no-ai-slop 检测并移除写作中常见的模板化、空泛和重复 AI 表达；适合文章润色、营销文案、报告编辑和建立团队生成内容质量标准。
92,MartinDelophy/ai-video-editor,62417,下降25,AI 视频生成 / 本地编辑器,MIT,ai-video-editor 是本地优先的浏览器视频编辑器，集成 ONNX 配音、Whisper 字幕、数字人和多轨导出；适合隐私敏感的短视频、字幕、配音和轻量内容生产。
93,earendil-works/pi,62365,下降25,AI 编码助手 / Agent 工具包,MIT,pi 提供统一 LLM API、agent loop、终端界面和 coding agent CLI，把模型、工具与代码库上下文连接起来；适合本地编程助手、脚本自动化、模型切换和自定义 agent 实验。
94,github/spec-kit,62313,下降25,AI 编码助手 / 规格驱动开发,MIT,spec-kit 用规格驱动开发把需求、设计、任务拆分、实现和验证连接起来，减少 coding agent 在复杂项目中偏航；适合新功能开发、多人协作、代码生成和可审查的工程交付。
95,Dicklesworthstone/destructive_command_guard,62261,下降25,AI 安全 / Agent 命令防护,未知 / 未声明,destructive_command_guard 在 coding agent 执行前拦截高风险 Git 与 shell 命令，降低误删文件、覆盖分支和破坏环境的风险；适合 Claude Code、Codex 等自动执行工具的本地安全门禁。
96,coreyhaines31/marketingskills,62209,下降25,Agent 技能包 / 营销自动化,MIT,marketingskills 将转化率优化、文案、SEO、分析和增长工程方法封装为 Claude Code 与 AI agent 技能；适合营销审计、落地页优化、内容规划和数据驱动增长工作流。
97,google-labs-code/stitch-skills,62156,下降25,AI 编码助手 / UI Agent Skills,Apache-2.0,stitch-skills 为 Stitch MCP Server 提供符合开放 Agent Skills 标准的设计与前端技能，可被 Gemini CLI、Claude Code、Cursor 等调用；适合从设计意图生成页面、复用 UI 工作流和团队设计规范。
98,PrismML-Eng/Bonsai-demo,62104,下降25,本地 LLM / 低比特多模态推理,Apache-2.0,Bonsai-demo 用于在 Mac、Windows、Linux 或 CPU 上运行 1-bit 与 ternary Bonsai 模型，支持视觉输入、长上下文、推理和 MCP 工具调用；适合本地多模态助手、低内存推理和边缘模型实验。
99,farion1231/cc-switch,62052,下降25,AI 编码助手 / 多 Agent 管理,MIT,cc-switch 是跨平台桌面工具，用于统一管理 Claude Code、Codex、OpenCode、OpenClaw、Gemini CLI 和 Hermes Agent；适合多模型切换、配置管理和开发者 agent 工作台。
100,ColeMurray/background-agents,62000,下降25,AI 编码助手 / 后台 Agent,MIT,background-agents 提供可在后台持续运行的开源 coding agent 系统，让长耗时开发任务与前台工作并行；适合批量代码修改、测试执行、仓库维护和异步研发自动化。
