排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
43,lightningpixel/modly,76244,新上榜,AI 3D 生成 / 本地图像转 3D,未知 / 未声明,Modly 是完全在本机 GPU 运行的桌面 3D 生成应用，可从参考图片生成三维模型；适合游戏与网页资产原型、产品概念建模、隐私敏感的本地 3D 工作流，以及图像到三维内容的快速试验。
44,Devin-AXIS/iPolloWork,76122,新上榜,企业 AI 工作台 / Agent Workspace,未知 / 未声明,iPolloWork 是 source-available 的 AI 工作区，可编辑代码、设计、演示、网站和视频，并集成 DeepSeek Harness 做子代理委派与插件协作；适合把多种可编辑内容生产与专业 Agent 团队统一到一套工作流。
45,MiniMax-AI/MiniMax-Music3,76000,新上榜,AI 音频 / 长音乐生成模型,未知 / 未声明,MiniMax Music 3 是完整歌曲生成模型，可根据歌词与详细音乐描述生成最长约 5 分钟、32kHz 立体声歌曲，并维持人声、主题和编曲结构；适合歌曲创作、音乐原型、长音频生成及可控风格与段落实验。
46,addyosmani/agent-skills,75800,下降38,AI 编码助手 / Agent Skills,MIT,agent-skills 提供面向生产工程的可复用 coding agent 技能，覆盖设计、实现、调试、性能与质量控制；适合团队建立技能库、规范代码审查与重构流程，并让 Claude Code、Codex 等按一致方法完成复杂开发任务。
47,obra/superpowers,75544,下降38,AI 编码助手 / 工程方法技能,MIT,Superpowers 把需求澄清、先写计划、测试驱动、系统化调试、代码审查和分支收尾等工程方法封装成可组合技能；适合让 Claude Code、Codex 等在复杂开发任务中按可审查、可验证的流程执行。
48,huangruiteng/loopx,75289,下降38,AI Agent / 长任务控制平面,MIT,LoopX 为长时间运行的 Agent 保存目标、门禁、待办、证据、配额和交接状态，使 Codex、Claude Code、Cursor 等按受控回合持续工作；适合多日研发、研究实验、定时监控、同行 Agent 协作和人工审批流程。
49,tirth8205/code-review-graph,75033,下降38,MCP / 代码知识图谱,MIT,code-review-graph 在本地为代码库建立持久知识图谱，并通过 MCP 与 CLI 提供低延迟查询；适合大型仓库代码审查、依赖与影响分析，以及减少 coding agent 的上下文和工具调用。
50,Significant-Gravitas/AutoGPT,74778,下降38,通用 Agent / Agent 平台,PolyForm Shield-1.0.0 / MIT,AutoGPT 提供构建、部署和管理自主 Agent 的平台、经典代理、Forge 与评测组件，可把任务拆解、工具调用和持续执行组合成工作流；适合通用自动化、Agent 原型、能力评测和企业内部代理平台研究。
51,different-ai/openwork,74522,下降38,AI Agent / 协作工作台,未知 / 未声明,OpenWork 是跨平台开源 AI 工作台，可把技能、MCP、Google Workspace 和 Microsoft 365 能力统一分发给 Claude Code、Codex、Cursor 等代理；适合团队共享自动化能力、管理权限连接，并复用跨工具、跨设备的知识工作流程。
52,uber/ADR,74267,下降38,AI 安全 / Agent 检测与响应,Apache-2.0,Uber ADR 采集 coding agent 与业务 Agent 的意图、工具调用和执行轨迹，并提供包含真实攻击技术的评测集与双层威胁检测器；适合企业 Agent 可观测、提示注入检测、安全基准、红队验证和运行时风险治理。
53,github/copilot-sdk,74011,下降38,AI 编码助手 / Copilot SDK,MIT,copilot-sdk 让开发者把 GitHub Copilot Agent 嵌入多平台应用和服务，复用其代码理解与任务执行能力；适合 IDE 插件、内部研发平台、代码审查和工程自动化产品。
54,Panniantong/Agent-Reach,73756,下降38,Agent 工具连接 / 互联网访问,MIT,Agent Reach 为命令行 Agent 自动安装、配置并诊断网页、搜索、GitHub、YouTube、RSS、社交平台等联网工具，并维护首选与备用接入路径；适合研究代理、内容情报、跨平台检索和降低外部工具配置成本。
55,mvanhorn/last30days-skill,73500,下降38,Agent 搜索 / 趋势研究,MIT,last30days-skill 会让 agent 跨 Reddit、X、YouTube、Hacker News、Polymarket 和网页检索近 30 天信息并综合结论；适合市场趋势调研、产品情报、热点验证和周期性研究报告。
56,antirez/ds4,73244,下降38,本地 LLM / 专用推理引擎,MIT,DwarfStar 是面向 DeepSeek V4 Flash、GLM 5.2 等模型的原生推理引擎，集成模型加载、量化、KV 状态、HTTP 服务和 coding agent，并支持 Metal、CUDA、ROCm 与 SSD 流式加载；适合本地大模型、旧 GPU 服务器和多机推理实验。
57,huggingface/speech-to-speech,72989,下降38,语音 / 实时 Speech-to-Speech Agent,Apache-2.0,speech-to-speech 将语音活动检测、语音识别、LLM 和语音合成组成可替换的实时对话流水线，支持多种开源与云端模型后端；适合语音助手、实时客服、数字人、低延迟对话和语音 Agent 原型。
58,roboflow/supervision,72733,下降38,计算机视觉 / 视频分析工具链,MIT,supervision 是模型无关的计算机视觉工具库，提供检测、分割、跟踪、标注、区域分析和视频处理组件；适合构建视觉 Agent、工业检测、视频分析、机器人感知和模型结果可视化。
59,livekit/agents,72478,下降37,语音 / 多模态实时 Agent,Apache-2.0,LiveKit Agents 是构建实时语音与多模态参与者的服务端框架，可组合 STT、LLM、TTS、实时 API、WebRTC、电话与 MCP，并内置调度和测试；适合电话客服、语音助手、数字人、在线陪练和低延迟多模态应用。
60,jamiepine/voicebox,72222,下降37,语音 / TTS / 音色克隆,MIT,voicebox 是可自托管的 AI 语音工作室，支持音色克隆、口述输入和语音内容生成；适合播客、视频配音、数字人、无障碍语音输入和不希望将音频交给云端的场景。
61,EveryInc/compound-engineering-plugin,71967,下降37,AI 编码助手 / Agent Skills,MIT,compound-engineering-plugin 为 Claude Code 等 coding agent 提供规划、研究、实现、测试、代码审查与经验沉淀技能，使每次开发形成可复用的工程上下文；适合复杂功能交付、团队研发规范和持续改进的代理工作流。
62,bytedance/deer-flow,71711,下降37,通用 Agent / 超级 Agent Harness,MIT,DeerFlow 2.0 通过子代理、长期记忆、沙箱、技能、上下文压缩和计划任务编排通用工作流，已从深度研究框架扩展为超级 Agent harness；适合复杂研究、文件与代码任务、定时自动化和多代理协同。
63,block/buzz,71456,下降37,AI Agent / 协作通信,Apache-2.0,buzz 是面向多 agent 的自托管协作通信平台，用于让多个代理共享消息、状态和任务上下文；适合构建 agent 团队、内部协作助手和需要持续通信的自动化系统。
64,microsoft/skill-recorder,71200,下降29,Agent Skills / Computer Use 工作流,MIT,Skill Recorder 记录用户在屏幕上完成任务的点击、窗口切换、网页与可选语音说明，再由 Copilot 重建意图和步骤，生成可复用 Skill 或定时自动化；适合把人工 SOP 转成 Agent 流程、培训操作和桌面任务自动化。
65,sqliteai/warp,70944,下降29,本地 LLM / 流式 MoE 推理,Apache-2.0,Warp（原 WASTE 仓库）是无第三方运行时依赖的 C 语言推理引擎，将 MoE 主干留在内存并按需从磁盘流式读取专家、使用受限缓存；适合超大模型本地推理、存储计算协同和低内存算法研究。
66,kirodotdev/KiroCrew,70689,下降29,AI 编码助手 / 持久开发工作区,Apache-2.0,Kiro Crew 是可在本地或远程硬件运行的持久开发工作区，支持跨会话记忆、无人值守多步任务、定时作业、心跳监控以及 Slack、Discord 等连接；适合长期研发、持续运维、个人 Agent 团队和任务型应用。
67,citrolabs/ego-lite,70433,下降29,浏览器自动化 / Web Agent,MIT,ego-lite 是让用户与 AI agent 并行操作的浏览器，减少自动化任务与人工浏览相互打断的问题；适合网页研究、表单处理、浏览器代理和人机共同完成在线工作。
68,alibaba/open-code-review,70178,下降29,AI 编码助手 / 自动代码审查,Apache-2.0,open-code-review 将确定性代码规则与 LLM agent 结合，生成精确到行的审查意见，并覆盖空指针、线程安全、XSS 和 SQL 注入等问题；适合 PR 审查、质量门禁和企业研发流程。
69,affaan-m/ECC,69922,下降29,Agent 记忆 / Harness 优化,MIT,ECC 将技能、经验、长期记忆、安全检查和研究优先方法组合成 agent harness 优化体系；适合 Claude Code、Codex、OpenCode 与 Cursor 的长期项目协作、上下文治理和工程质量提升。
70,pingdotgg/t3code,69667,下降27,AI 编码助手 / 多 Agent GUI,MIT,T3 Code 为 Codex、Claude、Cursor 和 OpenCode 提供轻量 Web 与桌面图形界面，统一启动和管理 coding agent 会话；适合不习惯纯终端的开发者、多代理切换和本地研发工作台。
71,MadsLorentzen/ai-job-search,69411,下降27,AI 求职 / 简历与职业运营,MIT,ai-job-search 是基于 Claude Code 的求职自动化框架，可按个人资料评估岗位、定制简历和求职信并准备面试；适合求职者批量筛选职位、维护申请材料和形成可复用的职业运营流程。
72,1jehuang/jcode,69156,下降27,AI 编码助手 / Coding Agent Harness,MIT,jcode 是面向代码任务的 agent harness，为模型提供仓库上下文、工具调用和终端执行能力；适合本地编码、自动修复、代码导航、测试运行和实验性 agentic engineering。
73,emilkowalski/skills,68900,下降27,AI 编码助手 / UI Agent Skills,MIT,emilkowalski/skills 将作者关于交互与界面设计的工程经验封装为可被 coding agent 调用的技能；适合前端实现、动效设计、界面质量检查和帮助 Claude Code、Codex 生成更成熟的 UI。
74,ChromeDevTools/chrome-devtools-mcp,68644,下降27,MCP Server / 浏览器调试,Apache-2.0,chrome-devtools-mcp 将 Chrome DevTools 的页面检查、网络、性能和交互调试能力提供给 coding agent，使模型能在真实浏览器中定位前端问题；适合网页自动测试、性能分析、界面回归、控制台诊断和 Web Agent 开发。
75,pbakaus/impeccable,68389,下降27,AI 编码助手 / 设计系统,Apache-2.0,Impeccable 为 coding agent 提供面向产品设计的语言、规则和质量标准，减少模板化界面与低质量视觉输出；适合 Claude Code、Codex 等生成前端页面、组件重构和设计审查。
76,usestrix/strix,68133,下降27,AI 安全 / 渗透测试 Agent,Apache-2.0,Strix 使用 AI agent 自动发现并协助修复应用漏洞，将侦察、测试、证据整理和修复建议连接起来；适合获授权环境中的安全审计、渗透测试、持续漏洞验证和开发阶段安全检查。
77,Nutlope/hallmark,67878,下降27,AI 编码助手 / 设计质量技能,MIT,hallmark 是用于 Claude Code、Cursor 和 Codex 的界面设计技能，专门识别并抑制模板化、千篇一律的“AI 味”视觉输出；适合前端页面生成、设计审查、组件重构和提升 coding agent 的产品审美。
78,xai-org/grok-build,67622,下降27,AI 编码助手 / Coding Agent Harness,Apache-2.0,grok-build 是 SpaceXAI 推出的 coding agent harness 与全屏终端界面，支持鼠标交互和扩展能力；适合在终端中完成仓库理解、代码修改、命令执行和可定制的 agentic engineering 工作流。
79,JustVugg/colibri,67367,下降27,本地 LLM / 高效推理,Apache-2.0,colibri 用纯 C 和磁盘流式加载专家的方式，在约 25GB 内存的消费级设备上运行超大 MoE 模型；适合本地大模型实验、低成本推理、离线助手和研究模型在受限硬件上的可行性。
80,AminBlg/SimpleEnglish,67111,下降27,Agent Skills / 技术写作,MIT,SimpleEnglish 将 ASD-STE100 简化技术英语规则封装为 agent skill，帮助 LLM 写出更明确、可翻译和可维护的说明文档；适合产品手册、运维文档、航空制造等受控语言场景。
81,openai/codex-security,66856,下降27,AI 安全 / Codex Security,Apache-2.0,codex-security 提供 Codex Security CLI 与 TypeScript SDK，用 agent 发现、验证并协助修复代码安全问题；适合仓库安全扫描、漏洞复核、修复建议生成和研发流水线安全门禁。
82,iOfficeAI/OfficeCLI,66600,下降27,文档处理 / Office Agent,Apache-2.0,OfficeCLI 为 AI agent 提供无需安装 Office 的 Word、Excel 和 PowerPoint 读取、编辑与自动化能力，并以单文件命令行工具运行；适合办公文档批处理、报告生成、表格修改和企业流程集成。
83,microsoft/VibeVoice,66344,下降27,语音 / TTS / STT,MIT,VibeVoice 是面向长文本和多说话人的开源语音模型，重点支持自然对话与长音频生成；适合播客、数字人、教育音频、内容配音和语音助手原型。
84,Graphify-Labs/graphify,66089,下降27,RAG / 多模态知识图谱,Apache-2.0,graphify 可把代码、数据库结构、脚本、文档、论文、图片和视频转成可查询知识图谱，并作为 coding agent 技能使用；适合跨代码与数据资产检索、影响分析和复杂项目理解。
85,digimata/quill,65833,下降27,语音 / 本地会议转写,MIT,quill 是 macOS 本地会议录音与转写工具，可分别记录麦克风和系统音频并在设备上生成带说话人标签的文本；适合敏感会议、访谈纪要、离线转写和个人知识沉淀。
86,u-ichi/reviewable-html-workbench,65578,下降27,AI 编码助手 / 可审阅文档,MIT,reviewable-html-workbench 是 Claude Code 与 Codex CLI 插件，可生成带预览、行内评论和修改回路的 HTML 文档；适合需求稿、方案页、报告和网页原型的人机协同评审。
87,microsoft/agent-governance-toolkit,65322,下降27,AI 治理 / Agent 安全,MIT,agent-governance-toolkit 提供策略执行、零信任身份、沙箱隔离和可靠性评测能力，解决 agent 上线后的权限与失控风险；适合企业代理平台、合规控制、执行审计和生产治理。
88,langchain-ai/openwiki,65067,下降27,RAG / 代码库文档 Agent,MIT,openwiki 是自动编写和维护代码库 agent 文档的命令行工具，可持续整理架构、模块与开发约定；适合大型仓库知识导航、新成员上手、coding agent 上下文准备和文档同步。
89,QwenAudio/qwen-audio-agent,64811,下降27,语音 / 实时 Voice Agent,Apache-2.0,qwen-audio-agent 是让语音 agent 持续对话并并行执行任务的实时运行时，覆盖音频输入、模型推理和回复播放；适合实时客服、语音助手、数字人和免手操作应用。
90,palmier-io/palmier-pro,64556,下降27,AI 视频生成 / 视频编辑,GPL-3.0,palmier-pro 是为 AI 工作流设计的 macOS 视频编辑器，把模型生成素材、时间线编辑和 MCP 工具调用结合起来；适合 AI 视频创作者、自动剪辑、本地后期和 agent 驱动的内容生产。
91,MoonshotAI/FlashKDA,64300,下降27,AI 基础设施 / 推理内核,MIT,FlashKDA 为 Kimi Delta Attention 提供高性能计算内核，重点优化注意力算子的吞吐与延迟；适合大模型推理框架、GPU 性能调优和新型注意力机制研究。
92,vudovn/ag-kit,64044,下降27,Agent Skills / 工程工具包,MIT,AG Kit 为 Google Antigravity 提供规则、技能、专业子代理、持久记忆、MCP、编排和危险命令防护的一体化工作区；适合团队建立可复用的 agent 工程规范与生产检查流程。
93,herdrdev/herdr,63789,下降27,AI Agent / 多 Agent 终端编排,Apache-2.0,herdr 是运行在终端中的 agent 多路复用器，用于同时启动、切换和观察多个代理会话；适合并行 coding agents、研究任务分工和多项目自动化管理。
94,StarTrail-org/PixelRAG,63533,下降27,RAG / 像素级文档检索,Apache-2.0,PixelRAG 以像素级视觉表示替代传统网页解析，将页面截图与视觉内容构建为可扩展检索索引；适合复杂网页、图文混排文档、多模态搜索和视觉 RAG。
95,ayghri/i-have-adhd,63278,下降27,AI 编码助手 / 输出优化技能,MIT,i-have-adhd 是面向 coding agent 的输出优化技能，要求模型先给结论并减少冗长铺垫；适合需要快速定位答案、降低信息负担和改善 Claude Code 等工具可读性的开发者。
96,ericosiu/ai-marketing-skills,63022,下降27,Agent Skills / 营销自动化,MIT,ai-marketing-skills 将增长实验、销售漏斗、内容运营、外联、SEO 和财务分析封装为可复用 agent skills；适合营销团队建立 AI SOP、活动策划和数据驱动增长工作流。
97,drumih/turbo-fieldfare,62767,下降27,本地 LLM / 低内存推理,Apache-2.0,turbo-fieldfare 面向 Apple Silicon 的低内存模型推理，可在约 2GB 内存中运行 Gemma 4 26B-A4B；适合本地助手、离线实验、边缘设备和低成本大模型验证。
98,agentscope-ai/QwenPaw,62511,下降27,自托管 AI 助手 / 多渠道 Agent,Apache-2.0,QwenPaw 是易安装、可本地或云端部署的个人 AI 助手，支持多种聊天渠道与可扩展技能；适合个人工作台、群聊机器人、私有知识助手和跨端自动化。
99,RyanCodrai/turbovec,62256,下降27,向量数据库 / RAG 基础设施,MIT,TurboVec 是用 Rust 实现并提供 Python 绑定的紧凑向量索引，结合 TurboQuant 降低内存占用并支持快速相似度检索；适合本地 RAG、嵌入搜索、推荐系统和资源受限环境中的语义检索。
