排名,项目,热度分,对比上周排名变动,项目分类,项目 License,项目简介
22,rtk-ai/rtk,28269.0,新上榜,AI 基础设施 / 运行与平台层,Apache-2.0,这是一个偏 AI 平台与运行时能力的基础设施项目，适合做模型调用抽象、服务集成或 AI 应用底座。它解决的问题是模型、工具、接口和部署方式分散，导致应用接入成本高。适合平台团队构建统一接入层，支撑多个 AI 应用共享能力。
23,shareAI-lab/learn-claude-code,25920.0,新上榜,AI 编码助手 / Claude Code 能力增强,未知 / 未声明,这是一个面向 Claude Code 学习和最佳实践整理的项目，适合想快速上手 AI 编码的人。它解决的是“工具很强，但不知道怎样稳定地用好”的问题。内容通常会覆盖提示模式、工作流设计、常见坑点和实际用法，适合个人开发者和团队培训场景。
24,HKUDS/CLI-Anything,25451.0,新上榜,AI 自动化流程 / 内容或任务流水线,MIT,这是一个让 AI 更好地调用命令行工具和系统能力的项目，适合把自然语言任务转换为可执行的 CLI 流程。它解决的问题是模型知道要做什么，但不会稳定调用底层命令和环境。适合自动运维、开发辅助、批量处理和命令行工作流自动化。
25,googleworkspace/cli,23234.0,新上榜,Agent 技能包 / Prompt 与工具集合,Apache-2.0,这是一个面向 Google Workspace 场景的 CLI/自动化工具项目，适合把邮件、文档、表格、日程等办公系统接到 AI 流程里。它解决的是办公 SaaS 操作碎片化、重复劳动多的问题。适合做办公自动化、报表整理、文档处理和跨 Workspace 服务的执行型助手。
26,shanraisshan/claude-code-best-practice,22680.0,新上榜,AI 编码助手 / Claude Code 能力增强,MIT,这是一个专注 Claude Code 使用方法和工程实践的项目，适合团队沉淀 AI 编码 SOP。它解决的问题是同一个工具在不同人手上效果差异很大，缺少统一方法论。适合做规范沉淀、入门培训、研发工作流升级和常用提示模板复用。
27,Panniantong/Agent-Reach,22425.0,新上榜,搜索 Agent / SEO / 发现,MIT,这是一个偏信息发现与搜索触达的 Agent 项目，适合做 SEO、内容发现、信息触达和目标搜索。它解决的是人工搜索覆盖面有限、效率低和难以持续跟踪的问题。适合增长、运营、线索发现和主题研究等需要广泛信息捕获的场景。
28,anthropics/claude-code,20590.0,新上榜,AI 编码助手 / Claude Code 能力增强,MIT,这是 Claude Code 相关的官方或核心能力仓库，适合把大模型直接接入代码库进行编辑、重构、解释和任务执行。它解决的是开发者需要在 IDE、终端、文档之间频繁切换，且 AI 难以真正理解工程上下文的问题。适合日常开发、代码修改、测试生成和工程问答场景。
29,AstrBotDevs/AstrBot,20563.0,新上榜,聊天机器人 / 角色陪伴,AGPL-3.0,这是一个面向聊天平台和多渠道接入的机器人项目，适合在 IM 平台中构建 AI 对话助手、娱乐机器人或群聊助手。它解决的是聊天入口分散、机器人功能单一和跨平台维护成本高的问题。适合社区运营、群助手、私聊问答和角色聊天类产品。
30,nextlevelbuilder/ui-ux-pro-max-skill,20514.0,新上榜,面向 AI 编码的设计系统 / UI 规范,未知 / 未声明,这是一个面向 UI/UX 设计产出与 AI 协作的 skill 项目，适合把设计需求、组件规范和页面实现经验沉淀下来。它解决的是 AI 生成界面容易“能看不能用”、缺少一致性的问题。适合前端团队、独立开发者和产品设计人员在 AI 协作中提高交付质量。
31,qwibitai/nanoclaw,19576.0,新上榜,Agent 记忆 / 长上下文记忆,MIT,这是一个轻量级 Agent 记忆系统项目，适合给代理增加可持久化的用户偏好、任务历史和上下文记忆。它解决的是模型每次会话都“从零开始”，无法形成连续工作关系的问题。适合个人助手、长期陪伴、项目管理和跨天任务追踪等场景。
32,tobi/qmd,19046.0,新上榜,搜索 Agent / SEO / 发现,MIT,这是一个偏内容组织、发现和结构化呈现的项目，适合处理搜索结果、资料汇总和信息发现后的再组织。它解决的是信息搜到了但难以沉淀、难以形成可读成果的问题。适合知识整理、研究助手和面向内容工作者的工作流构建。
33,santifer/career-ops,19013.0,新上榜,AI 求职 / 简历与职业运营,MIT,这是一个把 AI 用于求职与职业运营的项目，适合简历优化、岗位分析、申请流程管理和职业材料生成。它解决的是求职信息分散、材料重复改写和投递流程繁琐的问题。适合应届生、转岗人群和需要批量管理岗位申请的人使用。
34,nikopueringer/CorridorKey,18358.0,新上榜,AI 图像编辑 / 修图,未知 / 未声明,这是一个面向图像编辑或视觉后处理的项目，适合做素材增强、细节修改、风格统一和自动后期。它解决的是传统修图流程重手工、重复调整多的问题。适合内容制作、设计团队和需要快速批量处理图片素材的场景。
35,milla-jovovich/mempalace,18198.0,新上榜,Agent 记忆 / 长上下文记忆,未知 / 未声明,这是一个偏长期知识记忆与结构化回忆的项目，适合让 AI 保存重要事实、偏好、任务脉络和知识片段。它解决的是代理长期使用后仍无法稳定“记住你”的问题。适合做陪伴助手、客户服务、研究记录和长期项目协作型 Agent。
36,siddharthvaddem/openscreen,17912.0,新上榜,视频制作 / 演示视频生成,MIT,这是一个偏演示、录屏和视频表达的项目，适合做产品讲解、操作演示、培训视频和轻量视频内容制作。它解决的是视频说明成本高、演示录制流程分散的问题。适合产品团队、培训团队和独立创作者快速生成清晰的可视化说明内容。
37,calesthio/Crucix,15940.0,新上榜,监控 / 趋势跟踪代理,未知 / 未声明,这是一个面向趋势变化检测和持续监控的项目，适合追踪外部世界、市场、竞品或系统状态变化。它解决的问题是大量变化信号混杂，人工难以及时识别真正重要的波动。适合研究、运维、运营和情报场景做持续追踪与异常提醒。
38,jundot/omlx,15551.0,新上榜,本地 LLM / 本地推理,Apache-2.0,这是一个偏本地模型运行和轻量推理体验的项目，适合在个人电脑或本地环境中部署大模型能力。它解决的是云端调用成本、延迟和隐私顾虑较高的问题。适合离线使用、本地实验、隐私敏感业务和边缘设备上的模型推理场景。
39,D4Vinci/Scrapling,15242.0,新上榜,Agent 抓取 / 外部信息收集,MIT,这是一个用于网页抓取和信息抽取的工具项目，适合给 Agent 提供稳定的数据采集能力。它解决的是网页结构复杂、反爬规则多、原始 HTML 不适合直接进入模型的问题。适合做数据采集、竞品监控、研究准备和知识库原始数据构建。
40,hacksider/Deep-Live-Cam,15158.0,新上榜,AI 视频生成 / 自动剪辑,MIT,这是一个偏实时视频处理、换脸或直播效果增强的项目，适合做直播互动、视频特效和实时视觉处理。它解决的是传统视频后期不能实时反馈、制作门槛高的问题。适合娱乐直播、互动演示、视觉实验和内容制作场景。
41,TauricResearch/TradingAgents,14350.0,新上榜,量化 / 金融 AI 代理,MIT,这是一个把 Agent 能力用于金融研究和交易分析的项目，适合做市场信息汇总、研究辅助和策略讨论。它解决的是金融分析信息量大、变化快、手动整理效率低的问题。适合量化研究、投资研究和金融数据分析团队构建研究型助手。
42,openai/symphony,14294.0,新上榜,AI 自动化流程 / 内容或任务流水线,Apache-2.0,这是一个强调多角色协同和复杂任务编排的 Agent 系统，适合把一个较大的业务目标拆成多个阶段，让不同角色代理分工完成。它解决的是单个 Agent 在复杂任务中规划不足、执行不稳定的问题。适合研究流程、内容生产、复杂业务自动化和需要多阶段控制的工作流。
43,fishaudio/fish-speech,13276.0,新上榜,文本转语音 / TTS,Apache-2.0,这是一个文本转语音项目，适合做播报、配音、角色语音和交互式语音输出。它解决的是人工录音成本高、语音风格切换慢、批量语音生成困难的问题。适合内容创作、语音助手、教育产品和数字人语音输出场景。
44,ZhuLinsen/daily_stock_analysis,12915.0,新上榜,量化 / 金融 AI 代理,MIT,这是一个面向日常股票分析和资讯整理的 AI 项目，适合做市场简报、个股跟踪和研究辅助。它解决的是普通投资者每天需要在大量资讯与指标中筛重点的问题。适合构建日更分析助手、投资情报摘要和金融观察类自动化流程。
45,NousResearch/hermes-agent,12894.0,新上榜,通用 AI Agent / 自主执行框架,Apache-2.0,这是一个通用自主代理框架，适合构建能独立规划、调用工具和执行任务的 AI 系统。它解决的是普通聊天模型无法长期自主推进任务的问题。适合做自动研究、任务执行、工具链编排和通用型 AI 助手系统。
46,thedotmack/claude-mem,12543.0,新上榜,Agent 记忆 / 长上下文记忆,MIT,这是一个为 Claude Code 或类似编码代理补充长期记忆能力的项目。它解决的是代理在跨文件、跨任务和跨天开发中容易忘记约定与历史背景的问题。适合做长期开发助手、维护大型代码库、记录工程上下文和沉淀团队开发记忆。
47,agentscope-ai/CoPaw,11932.0,新上榜,聊天机器人 / 角色陪伴,Apache-2.0,这是一个偏互动式对话和陪伴体验的项目，适合构建角色聊天、宠物型助手或具有持续互动感的 AI 产品。它解决的是通用问答模型情感表达弱、互动粘性不足的问题。适合娱乐化产品、陪伴型应用和长期用户关系维护场景。
48,karpathy/nanochat,11836.0,新上榜,聊天机器人 / 角色陪伴,MIT,这是一个轻量化聊天系统项目，适合快速搭建实验型对话产品和本地聊天界面。它解决的是很多对话系统过重、难以作为教学或实验起点的问题。适合做学习样例、快速原型、本地聊天工具和轻量 AI 前端。
49,HKUDS/nanobot,10714.0,新上榜,聊天机器人 / 角色陪伴,MIT,这是一个轻量机器人或助手型项目，适合快速做聊天接口、任务型机器人和小型 AI 服务。它解决的是从零搭聊天机器人仍需要接很多基础设施的问题。适合教学、原型验证、小团队工具化和轻量自动回复场景。
50,jackwener/opencli,9802.0,新上榜,浏览器自动化 / Web Agent,MIT,这是一个让 AI 更容易使用命令行或自动化系统接口的工具项目，适合做终端任务代理和自动执行。它解决的是自然语言到系统动作之间存在巨大落差的问题。适合开发、运维、批量任务处理和自动化工作台场景。
51,opendataloader-project/opendataloader-pdf,9179.0,新上榜,文档解析 / PDF 与结构化抽取,Apache-2.0,这是一个面向 PDF 和文档数据提取的项目，适合做票据、报告、合同、论文和资料的结构化解析。它解决的是 PDF 内容难抽取、版式复杂、不适合直接进入 AI 流程的问题。适合知识库建设、文档问答和文档自动处理场景。
52,pascalorg/editor,8663.0,新上榜,3D 生成 / CAD / 场景生成,MIT,这是一个偏 3D 编辑或空间内容处理的项目，适合做场景搭建、资产编辑和三维内容创作。它解决的是 3D 内容创作流程复杂、工具重、协作难的问题。适合游戏原型、空间设计和 3D 交互应用开发。
53,microsoft/BitNet,8319.0,新上榜,NLP / LLM 训练与轻量模型,MIT,这是一个围绕轻量化大模型或高效推理的研究与工程项目，适合在有限算力环境下降低模型成本。它解决的是大模型部署昂贵、推理资源占用高的问题。适合做低成本推理、研究实验、边缘部署和模型压缩方向探索。
54,BerriAI/litellm,8247.0,新上榜,LLM 网关 / 路由与代理层,MIT,这是一个统一不同大模型接口的网关层项目，适合在多个模型服务之间做切换、路由、配额和统一调用。它解决的是模型厂商 API 不兼容、成本和策略难统一管理的问题。适合平台团队建设统一 LLM 接入层和多模型治理体系。
55,Vaibhavs10/insanely-fast-whisper,7981.0,新上榜,AI 语音 / 语音生成与识别,Apache-2.0,这是一个强调语音识别速度优化的项目，适合做实时字幕、转写和语音输入场景。它解决的是原始语音识别速度慢、资源开销大、难用于低延迟场景的问题。适合会议转写、音频检索、内容整理和语音交互产品。
56,saturndec/waoowaoo,7132.0,新上榜,AI 视频生成 / 自动剪辑,MIT,这是一个偏视频生成或自动剪辑体验的项目，适合从脚本、素材或想法快速生成可传播的视频内容。它解决的是视频制作链条长、编辑成本高的问题。适合短视频、自媒体、产品推广和轻量视频内容工厂场景。
57,pinchtab/pinchtab,7048.0,新上榜,浏览器自动化 / Web Agent,MIT,这是一个偏浏览器标签页和网页操作增强的项目，适合为 Web Agent 提供页面管理和自动交互能力。它解决的是多页面、多标签场景下自动化容易混乱的问题。适合网页任务执行、资料抓取、表单操作和基于浏览器的智能助手场景。
58,ChromeDevTools/chrome-devtools-mcp,5665.0,新上榜,MCP Server / MCP 工具链,Apache-2.0,这是一个把 Chrome DevTools 能力暴露给 MCP/Agent 使用的工具链项目。它适合让 AI 理解和操作真实浏览器页面，解决“模型会说不会点、不会检查前端状态”的问题。适合前端调试、网页测试、自动化检查和浏览器代理任务。
59,gofr-dev/gofr,5514.0,新上榜,AI 可观测 / LLM 评测,Apache-2.0,这是一个偏服务框架与可观测接入能力的项目，适合构建带指标、日志和结构化能力的 AI 服务。它解决的是 AI 服务上线后难排查、难治理和难标准化的问题。适合平台工程、AI 后端服务和需要工程化治理的生产场景。
60,jamiepine/voicebox,5312.0,新上榜,文本转语音 / TTS,MIT,这是一个文本转语音项目，适合将文本快速转换成自然语音输出。它解决的是人工配音慢、批量生成语音成本高的问题。适合播客、教育内容、短视频配音和语音助手场景。
61,harry0703/MoneyPrinterTurbo,5031.0,新上榜,AI 视频生成 / 自动剪辑,MIT,这是一个强调视频自动化生产效率的项目，适合批量生成短视频和营销类成片。它解决的是内容生产需要多人协作、流程繁琐的问题。适合增长团队、自媒体和需要高频输出视频的内容运营场景。
62,ysharma3501/LuxTTS,5007.0,新上榜,文本转语音 / TTS,MIT,这是一个偏高质量语音输出的 TTS 项目，适合多场景语音合成和风格化配音。它解决的是传统 TTS 生硬、不自然、风格单一的问题。适合做数字人配音、教育播报、语音阅读和内容创作。
63,microsoft/markitdown,4718.0,新上榜,文档解析 / PDF 与结构化抽取,MIT,这是一个把多种文档格式转成 Markdown 或结构化文本的项目，适合把复杂文档引入 LLM 工作流。它解决的是文档格式复杂、内容难直接送入模型理解的问题。适合知识库预处理、RAG 数据清洗、报告整理和文档自动化。
64,BIT-DataLab/Edit-Banana,4601.0,新上榜,AI 图像生成 / 图像工作流,MIT,这是一个面向图像生成或编辑工作流的项目，适合做视觉创作、图像改写和素材处理。它解决的是设计流程依赖人工、生成与编辑工具分散的问题。适合创意设计、营销素材和图像实验场景。
65,hsliuping/TradingAgents-CN,4558.0,新上榜,量化 / 金融 AI 代理,MIT,这是 TradingAgents 的中文化或本地化相关项目，适合中文用户理解和搭建金融研究型 Agent。它解决的是英文资料门槛高、金融代理实践难直接迁移的问题。适合本地研究、中文投资分析和金融 AI 教学场景。
66,supermemoryai/supermemory,4181.0,新上榜,Agent 记忆 / 长上下文记忆,Apache-2.0,这是一个面向 AI 长期记忆和信息检索的项目，适合让助手记住历史对话、知识片段和用户偏好。它解决的是普通对话系统无法积累长期上下文的问题。适合个人助手、知识助理、客户关系维护和持续项目协作场景。
67,VectifyAI/PageIndex,4118.0,新上榜,文档解析 / PDF 与结构化抽取,Apache-2.0,这是一个偏页面内容索引与结构化处理的项目，适合把网站或文档页面组织成可检索知识。它解决的是内容分散、信息难定位和后续问答命中率低的问题。适合搜索增强、知识库建设和面向 RAG 的数据准备。
68,virattt/dexter,4052.0,新上榜,量化 / 金融 AI 代理,MIT,这是一个偏金融分析自动化或研究辅助的项目，适合用 AI 处理市场资料、形成分析观点和生成研究过程。它解决的是金融研究链路长、信息处理重复的问题。适合投资研究和自动化分析实验场景。
69,virattt/ai-hedge-fund,4052.0,新上榜,量化 / 金融 AI 代理,MIT,这是一个将 AI 代理思路用于“对冲基金式研究工作流”的项目，适合做模拟研究团队协作和投资分析实验。它解决的是复杂投资研究需要多人角色配合、信息密集的问题。适合金融 AI 教学、研究框架搭建和策略思路验证。
70,tirth8205/code-review-graph,3828.0,新上榜,MCP Server / MCP 工具链,MIT,这是一个帮助 AI 进行代码审查、关系理解或结构分析的项目，适合在大型仓库中建立代码依赖与审查视图。它解决的是代码审查只看局部、难理解系统关系的问题。适合研发团队做改动影响分析、代码评审辅助和工程知识导航。
71,builderz-labs/mission-control,3671.0,新上榜,监控 / 趋势跟踪代理,MIT,这是一个偏统一控制台和持续监控的项目，适合把多个任务、多个代理或多个外部信号集中管理。它解决的是自动化系统一多就失去可见性的问题。适合任务监控、运行状态汇总和运营观察台场景。
72,huggingface/transformers,3655.0,新上榜,计算机视觉 / OCR / 视觉生成,Apache-2.0,这是最常用的开源模型与推理框架之一，适合快速使用和集成大量 NLP、视觉、多模态模型。它解决的是模型接入成本高、不同模型接口不统一的问题。适合研究实验、产品原型和生产服务中的模型调用与微调场景。
73,vercel-labs/portless,3562.0,新上榜,LLM 网关 / 路由与代理层,MIT,这是一个面向 LLM 接入层或中间代理的项目，适合在应用和模型之间增加一层统一管理。它解决的是多模型接入、鉴权、路由和策略管理复杂的问题。适合平台团队做统一模型服务出口和应用治理。
74,run-llama/liteparse,3432.0,新上榜,文档解析 / PDF 与结构化抽取,Apache-2.0,这是一个轻量文档解析项目，适合快速从 PDF、文档或页面中抽取适合 LLM 使用的文本内容。它解决的是文档解析链路重、接入复杂的问题。适合轻量 RAG、文档问答和快速原型场景。
75,langflow-ai/openrag,3346.0,新上榜,文档解析 / PDF 与结构化抽取,MIT,这是一个面向 RAG 场景的开源实现项目，适合把文档、网页或知识内容接入检索增强问答。它解决的是普通 LLM 容易胡编、缺少外部知识支撑的问题。适合企业知识库、FAQ、内部文档问答和研究资料查询场景。
76,Comfy-Org/ComfyUI,3307.0,新上榜,AI 图像生成 / 图像工作流,GPL-3.0,这是图像生成领域非常常见的可视化工作流工具，适合搭建复杂的生成、修图、风格迁移和节点式视觉流程。它解决的是图像生成参数多、流程复杂、难复现的问题。适合设计师、创作者和需要可视化配置生成链路的团队。
77,m1k1o/neko,3078.0,新上榜,浏览器自动化 / Web Agent,Apache-2.0,这是一个共享浏览器或远程浏览环境项目，适合让 AI 或多人共同使用浏览器环境完成任务。它解决的是本地环境不统一、浏览器自动化难共享的问题。适合远程演示、自动化测试和浏览器型代理运行场景。
78,PaddlePaddle/PaddleOCR,2942.0,新上榜,计算机视觉 / OCR / 视觉生成,Apache-2.0,这是一个成熟的 OCR 项目，适合做票据识别、表格提取、截图文字提取和多语言文本识别。它解决的是图像里文字难结构化处理的问题。适合文档数字化、报销自动化、资料录入和视觉问答预处理场景。
79,nv-tlabs/kimodo,2595.0,新上榜,3D 生成 / CAD / 场景生成,未知 / 未声明,这是一个偏 3D 或空间内容生成研究的项目，适合探索从描述到三维结构、空间建模或生成式场景构建。它解决的是 3D 内容生成门槛高、迭代慢的问题。适合研究实验、3D 生成原型和空间 AI 场景。
80,KittenML/KittenTTS,2379.0,新上榜,文本转语音 / TTS,Apache-2.0,这是一个轻量语音合成项目，适合快速尝试本地或低成本语音输出能力。它解决的是很多 TTS 系统过重、上手门槛高的问题。适合原型验证、教育、轻量产品和本地实验。
81,dimensionalOS/dimos,2264.0,新上榜,机器人 / Embodied AI,Apache-2.0,这是一个面向机器人或具身智能操作系统层的项目，适合组织传感器、动作控制和智能策略。它解决的是机器人系统组件繁杂、能力难统一的问题。适合机器人原型开发、实验平台和具身智能研究场景。
82,YouMind-OpenLab/awesome-nano-banana-pro-prompts,2074.0,新上榜,AI 图像生成 / 图像工作流,未知 / 未声明,这是一个围绕图像生成提示词与使用技巧的资源库，适合快速学习某类视觉模型或生成风格。它解决的是模型可用但提示难调、效果不稳定的问题。适合创作者、视觉实验人员和 AI 绘图初学者快速提升出图效率。
83,PKU-YuanGroup/Helios,1603.0,新上榜,AI 视频生成 / 自动剪辑,MIT,这是一个偏视频生成或时序视觉建模的项目，适合探索从文本或条件输入生成视频内容。它解决的是视频生成成本高、控制性差的问题。适合研究实验、内容创作原型和生成式视频方向探索。
84,OpenCut-app/OpenCut,1560.0,新上榜,视频制作 / 演示视频生成,MIT,这是一个面向视频剪辑和后期处理的项目，适合做轻量编辑、切片、拼接和视频整理。它解决的是传统视频工具复杂、上手慢的问题。适合创作者、教学内容制作和视频素材快速处理场景。
85,Diolinux/PhotoGIMP,1414.0,新上榜,AI 图像编辑 / 修图,GPL-3.0,这是一个提升图像编辑体验的项目，适合让熟悉 Photoshop 习惯的人更快进入开源图像编辑流程。它解决的是工具迁移成本高、操作习惯差异大的问题。适合设计师、内容团队和图片处理初学者提升效率。
86,ResearAI/AutoFigure-Edit,1231.0,新上榜,AI 图像编辑 / 修图,MIT,这是一个面向科研图片或图表编辑自动化的项目，适合对论文插图、研究图表和技术图像进行快速改写或规范化处理。它解决的是科研制图修改重复、细节调整耗时的问题。适合研究人员、实验室和学术内容编辑场景。
87,newton-physics/newton,1205.0,新上榜,机器人 / Embodied AI,MIT,这是一个与物理仿真或机器人行为建模相关的项目，适合做具身智能、控制策略和物理世界交互实验。它解决的是真实机器人试错成本高、实验迭代慢的问题。适合研究仿真、控制算法验证和具身智能原型开发。
88,Lightricks/LTX-Desktop,1137.0,新上榜,视频制作 / 演示视频生成,MIT,这是一个偏桌面端视频创作或视频 AI 工具体验的项目，适合需要在本地完成视频处理和生成的人群。它解决的是云端工具不够灵活、本地工作流割裂的问题。适合视频创作者、产品演示和桌面端内容生产场景。
